elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.001,306.6,76.2,304.332,1028.43,13.0,4.095,1.5,4.091,1.499,0.0,1.52,19.0,0.17
2.002,368.8,91.1,305.449,1028.645,13.0,7.595,3.5,3.498,1.999,0.0,3.52,19.0,0.478
3.004,372.1,91.9,305.852,1030.051,13.0,11.22,5.75,3.616,2.245,0.0,5.77,19.0,0.478
4.004,367.8,91.1,305.926,1029.77,13.0,14.751,7.75,3.53,1.999,0.0,7.77,19.0,0.478
5.005,369.8,91.6,305.945,1029.426,13.0,18.314,10.0,3.561,2.249,0.0,10.02,19.0,0.478
6.006,354.5,87.7,306.043,1026.145,13.0,21.689,12.0,3.37,1.997,0.0,12.02,19.0,0.478
7.007,371.7,92.1,306.078,1025.887,13.0,25.22,14.0,3.528,1.998,0.0,14.02,19.0,0.84
8.008,372.6,92.5,306.094,1025.398,12.9,28.814,16.25,3.59,2.248,0.0,16.27,19.0,0.84
9.009,359.8,89.4,305.887,1024.812,12.9,31.554,18.25,2.739,1.999,0.0,18.27,7.0,0.84
10.009,21.0,5.0,0.0,776.555,9.8,31.554,18.615,0.0,0.365,0.0,18.633,1.0,0.84
