sample_id,family,distribution,vm,run,sample,started_at_utc,input_sha256,ffmpeg_exit_code,elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
endeavouros-r03-s01,arch,endeavouros,endeavouros,3,1,2026-09-14T01:09:25+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,1.0,320.9,79.0,324.145,813.875,10.3,4.175,1.5,4.175,1.5,0.0,1.504,19.0,2.914
endeavouros-r03-s02,arch,endeavouros,endeavouros,3,2,2026-09-14T01:09:25+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,2.001,365.6,90.2,324.613,813.621,10.3,7.612,3.5,3.434,1.998,0.0,3.504,19.0,2.914
endeavouros-r03-s03,arch,endeavouros,endeavouros,3,3,2026-09-14T01:09:25+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,3.002,371.5,91.9,324.832,813.211,10.3,11.237,5.75,3.62,2.247,0.0,5.754,19.0,2.914
endeavouros-r03-s04,arch,endeavouros,endeavouros,3,4,2026-09-14T01:09:25+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,4.003,363.8,90.1,324.871,814.516,10.3,14.675,7.75,3.436,1.999,0.0,7.754,19.0,2.914
endeavouros-r03-s05,arch,endeavouros,endeavouros,3,5,2026-09-14T01:09:25+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,5.003,368.8,90.9,324.887,812.105,10.2,18.175,9.75,3.498,1.999,0.0,9.754,19.0,2.914
endeavouros-r03-s06,arch,endeavouros,endeavouros,3,6,2026-09-14T01:09:25+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,6.004,354.6,87.7,324.969,811.422,10.2,21.487,11.75,3.309,1.998,0.0,11.754,19.0,3.241
endeavouros-r03-s07,arch,endeavouros,endeavouros,3,7,2026-09-14T01:09:25+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,7.005,371.8,92.6,332.852,821.336,10.4,25.019,14.0,3.53,2.249,0.0,14.004,19.0,3.241
endeavouros-r03-s08,arch,endeavouros,endeavouros,3,8,2026-09-14T01:09:25+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,8.005,370.8,92.1,332.887,821.254,10.4,28.487,16.0,3.467,1.999,0.0,16.004,19.0,3.241
endeavouros-r03-s09,arch,endeavouros,endeavouros,3,9,2026-09-14T01:09:25+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,9.006,366.8,90.1,332.516,820.656,10.4,31.447,18.25,2.958,2.249,0.0,18.254,7.0,3.241
endeavouros-r03-s10,arch,endeavouros,endeavouros,3,10,2026-09-14T01:09:25+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,10.006,39.0,9.7,0.0,544.422,6.9,31.447,18.618,0.0,0.368,0.0,18.621,1.0,3.241
endeavouros-r04-s01,arch,endeavouros,endeavouros,4,1,2026-09-14T01:09:38+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,1.001,322.6,79.6,322.062,813.637,10.3,4.178,1.5,4.173,1.498,0.0,1.504,19.0,2.981
endeavouros-r04-s02,arch,endeavouros,endeavouros,4,2,2026-09-14T01:09:38+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,2.002,358.8,88.8,322.656,813.832,10.3,7.553,3.5,3.373,1.999,0.0,3.504,19.0,2.981
endeavouros-r04-s03,arch,endeavouros,endeavouros,4,3,2026-09-14T01:09:38+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,3.002,368.8,90.8,322.816,813.953,10.3,11.084,5.75,3.53,2.249,0.0,5.754,19.0,3.384
endeavouros-r04-s04,arch,endeavouros,endeavouros,4,4,2026-09-14T01:09:38+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,4.002,365.9,90.9,330.855,829.68,10.5,14.553,7.75,3.467,1.999,0.0,7.754,19.0,3.384
endeavouros-r04-s05,arch,endeavouros,endeavouros,4,5,2026-09-14T01:09:38+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,5.003,373.6,92.6,330.867,829.625,10.5,18.147,9.75,3.59,1.998,0.0,9.754,19.0,3.384
endeavouros-r04-s06,arch,endeavouros,endeavouros,4,6,2026-09-14T01:09:38+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,6.004,359.8,89.1,330.949,837.129,10.6,21.553,12.0,3.405,2.249,0.0,12.004,19.0,3.384
endeavouros-r04-s07,arch,endeavouros,endeavouros,4,7,2026-09-14T01:09:38+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,7.004,372.8,92.3,330.965,836.598,10.6,25.115,14.0,3.561,1.999,0.0,14.004,19.0,3.384
endeavouros-r04-s08,arch,endeavouros,endeavouros,4,8,2026-09-14T01:09:38+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,8.007,369.1,91.6,330.992,836.074,10.5,28.584,16.0,3.46,1.995,0.0,16.004,19.0,3.434
endeavouros-r04-s09,arch,endeavouros,endeavouros,4,9,2026-09-14T01:09:38+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,9.007,355.9,87.9,330.625,834.57,10.5,31.45,18.25,2.864,2.249,0.0,18.254,7.0,3.434
endeavouros-r04-s10,arch,endeavouros,endeavouros,4,10,2026-09-14T01:09:38+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,10.008,38.0,8.9,0.0,532.004,6.7,31.45,18.618,0.0,0.368,0.0,18.621,1.0,3.434
endeavouros-r05-s01,arch,endeavouros,endeavouros,5,1,2026-09-14T01:09:51+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,1.0,320.9,79.8,329.441,831.84,10.5,4.177,1.5,4.177,1.5,0.0,1.504,19.0,3.158
endeavouros-r05-s02,arch,endeavouros,endeavouros,5,2,2026-09-14T01:09:51+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,2.002,367.3,90.6,329.949,831.039,10.5,7.583,3.5,3.4,1.996,0.0,3.504,19.0,3.158
endeavouros-r05-s03,arch,endeavouros,endeavouros,5,3,2026-09-14T01:09:51+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,3.002,370.8,91.4,330.121,829.648,10.5,11.177,5.75,3.592,2.249,0.0,5.754,19.0,3.158
endeavouros-r05-s04,arch,endeavouros,endeavouros,5,4,2026-09-14T01:09:51+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,4.003,364.8,89.7,330.164,827.578,10.4,14.583,7.75,3.405,1.999,0.0,7.754,19.0,3.158
endeavouros-r05-s05,arch,endeavouros,endeavouros,5,5,2026-09-14T01:09:51+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,5.004,370.7,91.8,330.184,824.953,10.4,18.146,9.75,3.56,1.998,0.0,9.754,19.0,3.306
endeavouros-r05-s06,arch,endeavouros,endeavouros,5,6,2026-09-14T01:09:51+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,6.004,361.8,89.6,330.266,831.816,10.5,21.521,11.75,3.373,1.999,0.0,11.754,19.0,3.306
endeavouros-r05-s07,arch,endeavouros,endeavouros,5,7,2026-09-14T01:09:51+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,7.005,368.6,91.1,330.277,831.441,10.5,25.021,14.0,3.496,2.248,0.0,14.004,19.0,3.306
endeavouros-r05-s08,arch,endeavouros,endeavouros,5,8,2026-09-14T01:09:51+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,8.006,369.8,91.2,330.324,831.367,10.5,28.489,16.0,3.467,1.999,0.0,16.004,19.0,3.306
endeavouros-r05-s09,arch,endeavouros,endeavouros,5,9,2026-09-14T01:09:51+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,9.006,362.8,89.6,329.953,831.34,10.5,31.449,18.0,2.958,1.999,0.0,18.004,7.0,3.306
endeavouros-r05-s10,arch,endeavouros,endeavouros,5,10,2026-09-14T01:09:51+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,10.006,41.0,10.4,0.0,535.105,6.7,31.449,18.618,0.0,0.618,0.0,18.621,1.0,3.041
endeavouros-r06-s01,arch,endeavouros,endeavouros,6,1,2026-09-14T01:10:04+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,1.0,320.9,79.4,324.953,816.371,10.3,4.208,1.5,4.208,1.5,0.0,1.504,19.0,3.041
endeavouros-r06-s02,arch,endeavouros,endeavouros,6,2,2026-09-14T01:10:04+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,2.002,365.2,90.6,325.57,815.871,10.3,7.708,3.5,3.493,1.996,0.0,3.504,19.0,3.118
endeavouros-r06-s03,arch,endeavouros,endeavouros,6,3,2026-09-14T01:10:04+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,3.003,370.8,91.6,325.785,815.316,10.3,11.271,5.75,3.561,2.249,0.0,5.754,19.0,3.118
endeavouros-r06-s04,arch,endeavouros,endeavouros,6,4,2026-09-14T01:10:04+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,4.004,362.3,89.7,325.809,814.816,10.3,14.739,7.75,3.462,1.996,0.0,7.754,19.0,3.118
endeavouros-r06-s05,arch,endeavouros,endeavouros,6,5,2026-09-14T01:10:04+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,5.005,372.8,91.8,325.82,814.254,10.3,18.271,10.0,3.53,2.249,0.0,10.004,19.0,3.118
endeavouros-r06-s06,arch,endeavouros,endeavouros,6,6,2026-09-14T01:10:04+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,6.008,361.0,89.2,325.902,821.699,10.4,21.739,12.0,3.459,1.994,0.0,12.004,19.0,3.118
endeavouros-r06-s07,arch,endeavouros,endeavouros,6,7,2026-09-14T01:10:04+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,7.008,367.8,91.4,325.93,821.312,10.4,25.239,14.0,3.498,1.999,0.0,14.004,19.0,3.108
endeavouros-r06-s08,arch,endeavouros,endeavouros,6,8,2026-09-14T01:10:04+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,8.009,365.9,90.1,326.066,824.934,10.4,28.739,16.25,3.499,2.249,0.0,16.254,19.0,3.108
endeavouros-r06-s09,arch,endeavouros,endeavouros,6,9,2026-09-14T01:10:04+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,9.009,358.8,88.7,325.699,822.168,10.4,31.449,18.25,2.708,1.999,0.0,18.254,7.0,3.108
endeavouros-r06-s10,arch,endeavouros,endeavouros,6,10,2026-09-14T01:10:04+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,10.01,19.0,4.7,0.0,539.242,6.8,31.449,18.618,0.0,0.368,0.0,18.621,1.0,3.108
endeavouros-r07-s01,arch,endeavouros,endeavouros,7,1,2026-09-14T01:10:17+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,1.001,321.7,79.7,323.094,842.871,10.6,4.207,1.5,4.204,1.499,0.0,1.504,19.0,2.859
endeavouros-r07-s02,arch,endeavouros,endeavouros,7,2,2026-09-14T01:10:17+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,2.001,367.8,90.9,323.617,843.23,10.6,7.707,3.75,3.498,2.249,0.0,3.754,19.0,2.859
endeavouros-r07-s03,arch,endeavouros,endeavouros,7,3,2026-09-14T01:10:17+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,3.003,363.4,89.7,323.801,842.727,10.6,11.207,5.75,3.495,1.997,0.0,5.754,19.0,2.859
endeavouros-r07-s04,arch,endeavouros,endeavouros,7,4,2026-09-14T01:10:17+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,4.003,368.8,91.1,323.867,842.445,10.6,14.801,7.75,3.592,1.999,0.0,7.754,19.0,3.432
endeavouros-r07-s05,arch,endeavouros,endeavouros,7,5,2026-09-14T01:10:17+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,5.005,373.2,92.4,323.879,839.227,10.6,18.363,10.0,3.555,2.245,0.0,10.004,19.0,3.432
endeavouros-r07-s06,arch,endeavouros,endeavouros,7,6,2026-09-14T01:10:17+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,6.006,360.9,89.4,331.891,849.305,10.7,21.832,12.0,3.467,1.999,0.0,12.004,19.0,3.432
endeavouros-r07-s07,arch,endeavouros,endeavouros,7,7,2026-09-14T01:10:17+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,7.007,371.4,92.5,331.902,844.77,10.7,25.363,14.25,3.526,2.247,0.0,14.254,19.0,3.432
endeavouros-r07-s08,arch,endeavouros,endeavouros,7,8,2026-09-14T01:10:17+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,8.008,366.8,90.2,331.918,848.387,10.7,28.895,16.25,3.53,1.999,0.0,16.254,19.0,3.432
endeavouros-r07-s09,arch,endeavouros,endeavouros,7,9,2026-09-14T01:10:17+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,9.009,356.7,88.0,329.828,841.066,10.6,31.448,18.5,2.551,2.248,0.0,18.504,7.0,3.478
endeavouros-r07-s10,arch,endeavouros,endeavouros,7,10,2026-09-14T01:10:17+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,10.01,6.0,1.5,0.0,535.395,6.8,31.448,18.618,0.0,0.118,0.0,18.621,1.0,3.478
endeavouros-r08-s01,arch,endeavouros,endeavouros,8,1,2026-09-14T01:10:31+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,1.0,317.8,80.1,322.859,823.672,10.4,4.115,1.5,4.114,1.5,0.0,1.504,19.0,3.279
endeavouros-r08-s02,arch,endeavouros,endeavouros,8,2,2026-09-14T01:10:31+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,2.002,362.6,89.4,323.395,824.34,10.4,7.553,3.5,3.434,1.998,0.0,3.504,19.0,3.279
endeavouros-r08-s03,arch,endeavouros,endeavouros,8,3,2026-09-14T01:10:31+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,3.002,366.8,90.3,331.574,840.074,10.6,11.053,5.5,3.498,1.999,0.0,5.504,19.0,3.279
endeavouros-r08-s04,arch,endeavouros,endeavouros,8,4,2026-09-14T01:10:31+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,4.003,366.7,90.4,331.629,840.465,10.6,14.49,7.75,3.435,2.248,0.0,7.754,19.0,3.279
endeavouros-r08-s05,arch,endeavouros,endeavouros,8,5,2026-09-14T01:10:31+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,5.003,368.8,91.4,331.652,838.984,10.6,17.99,9.75,3.498,1.999,0.0,9.754,19.0,3.279
endeavouros-r08-s06,arch,endeavouros,endeavouros,8,6,2026-09-14T01:10:31+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,6.004,356.9,87.9,331.742,837.242,10.6,21.365,11.75,3.374,1.999,0.0,11.754,19.0,3.256
endeavouros-r08-s07,arch,endeavouros,endeavouros,8,7,2026-09-14T01:10:31+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,7.004,370.7,92.1,331.754,836.934,10.6,24.834,13.75,3.466,1.999,0.0,13.754,19.0,3.256
endeavouros-r08-s08,arch,endeavouros,endeavouros,8,8,2026-09-14T01:10:31+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,8.005,364.9,89.6,331.77,835.148,10.5,28.303,16.0,3.467,2.249,0.0,16.004,19.0,3.256
endeavouros-r08-s09,arch,endeavouros,endeavouros,8,9,2026-09-14T01:10:31+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,9.006,365.8,89.9,331.637,833.34,10.5,31.45,18.0,3.145,1.999,0.0,18.004,12.0,3.256
endeavouros-r08-s10,arch,endeavouros,endeavouros,8,10,2026-09-14T01:10:31+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,10.006,61.0,15.7,0.0,528.52,6.7,31.45,18.618,0.0,0.618,0.0,18.621,1.0,3.256
endeavouros-r09-s01,arch,endeavouros,endeavouros,9,1,2026-09-14T01:10:44+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,1.001,321.7,79.6,320.219,806.344,10.2,4.146,1.5,4.143,1.499,0.0,1.504,19.0,2.995
endeavouros-r09-s02,arch,endeavouros,endeavouros,9,2,2026-09-14T01:10:44+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,2.001,352.8,87.2,323.84,809.789,10.2,7.489,3.5,3.342,1.999,0.0,3.504,19.0,2.995
endeavouros-r09-s03,arch,endeavouros,endeavouros,9,3,2026-09-14T01:10:44+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,3.002,369.6,90.9,324.023,809.227,10.2,11.083,5.75,3.59,2.248,0.0,5.754,19.0,3.156
endeavouros-r09-s04,arch,endeavouros,endeavouros,9,4,2026-09-14T01:10:44+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,4.003,363.8,89.9,324.047,808.945,10.2,14.521,7.75,3.436,1.999,0.0,7.754,19.0,3.156
endeavouros-r09-s05,arch,endeavouros,endeavouros,9,5,2026-09-14T01:10:44+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,5.004,367.8,90.9,324.086,809.375,10.2,17.989,9.75,3.467,1.999,0.0,9.754,19.0,3.156
endeavouros-r09-s06,arch,endeavouros,endeavouros,9,6,2026-09-14T01:10:44+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,6.006,358.2,88.4,324.168,808.84,10.2,21.364,11.75,3.367,1.995,0.0,11.754,19.0,3.156
endeavouros-r09-s07,arch,endeavouros,endeavouros,9,7,2026-09-14T01:10:44+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,7.006,371.8,92.1,324.184,808.539,10.2,24.927,13.75,3.56,1.999,0.0,13.754,19.0,3.156
endeavouros-r09-s08,arch,endeavouros,endeavouros,9,8,2026-09-14T01:10:44+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,8.007,369.9,90.6,324.195,808.402,10.2,28.427,16.0,3.499,2.249,0.0,16.004,19.0,3.464
endeavouros-r09-s09,arch,endeavouros,endeavouros,9,9,2026-09-14T01:10:44+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,9.008,369.6,91.8,323.828,807.816,10.2,31.449,18.25,3.019,2.248,0.0,18.254,7.0,3.464
endeavouros-r09-s10,arch,endeavouros,endeavouros,9,10,2026-09-14T01:10:44+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,10.008,40.0,9.7,0.0,523.633,6.6,31.449,18.618,0.0,0.368,0.0,18.621,1.0,3.464
endeavouros-r10-s01,arch,endeavouros,endeavouros,10,1,2026-09-14T01:10:57+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,1.0,320.8,79.1,323.137,813.801,10.3,4.177,1.5,4.175,1.5,0.0,1.504,19.0,3.186
endeavouros-r10-s02,arch,endeavouros,endeavouros,10,2,2026-09-14T01:10:57+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,2.001,363.7,90.1,323.699,821.418,10.4,7.646,3.5,3.466,1.999,0.0,3.504,19.0,3.186
endeavouros-r10-s03,arch,endeavouros,endeavouros,10,3,2026-09-14T01:10:57+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,3.002,370.7,91.6,323.891,821.316,10.4,11.239,5.75,3.591,2.248,0.0,5.754,19.0,3.186
endeavouros-r10-s04,arch,endeavouros,endeavouros,10,4,2026-09-14T01:10:57+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,4.002,367.8,91.3,323.941,821.035,10.4,14.677,7.75,3.436,1.999,0.0,7.754,19.0,3.186
endeavouros-r10-s05,arch,endeavouros,endeavouros,10,5,2026-09-14T01:10:57+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,5.003,369.6,91.1,324.008,820.531,10.3,18.146,9.75,3.465,1.998,0.0,9.754,19.0,3.492
endeavouros-r10-s06,arch,endeavouros,endeavouros,10,6,2026-09-14T01:10:57+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,6.004,357.8,88.9,324.09,828.031,10.4,21.552,12.0,3.405,2.249,0.0,12.004,19.0,3.492
endeavouros-r10-s07,arch,endeavouros,endeavouros,10,7,2026-09-14T01:10:57+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,7.004,372.8,92.3,324.113,828.438,10.4,25.052,14.0,3.498,1.999,0.0,14.004,19.0,3.492
endeavouros-r10-s08,arch,endeavouros,endeavouros,10,8,2026-09-14T01:10:57+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,8.005,370.6,91.6,324.164,829.246,10.5,28.583,16.0,3.528,1.998,0.0,16.004,19.0,3.492
endeavouros-r10-s09,arch,endeavouros,endeavouros,10,9,2026-09-14T01:10:57+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,9.006,354.9,87.4,323.797,828.684,10.5,31.449,18.0,2.864,1.999,0.0,18.004,7.0,3.492
endeavouros-r10-s10,arch,endeavouros,endeavouros,10,10,2026-09-14T01:10:57+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,10.007,40.0,10.0,0.0,535.449,6.8,31.449,18.618,0.0,0.618,0.0,18.621,1.0,3.452
fedora-r01-s01,fedora,fedora,fedora,1,1,2026-09-14T00:49:55+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,1.0,306.9,76.3,300.5,878.543,11.1,4.102,1.5,4.102,1.5,0.0,1.504,19.0,1.384
fedora-r01-s02,fedora,fedora,fedora,1,2,2026-09-14T00:49:55+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,2.001,366.8,90.6,301.598,878.039,11.1,7.602,3.5,3.498,1.999,0.0,3.504,19.0,1.834
fedora-r01-s03,fedora,fedora,fedora,1,3,2026-09-14T00:49:55+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,3.001,357.8,88.7,301.949,877.98,11.1,11.134,5.5,3.529,1.999,0.0,5.504,19.0,1.834
fedora-r01-s04,fedora,fedora,fedora,1,4,2026-09-14T00:49:55+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,4.002,362.8,89.2,302.023,877.891,11.1,14.634,7.75,3.498,2.249,0.0,7.754,19.0,1.834
fedora-r01-s05,fedora,fedora,fedora,1,5,2026-09-14T00:49:55+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,5.003,366.5,90.6,302.059,877.609,11.1,18.165,9.75,3.526,1.997,0.0,9.754,19.0,1.834
fedora-r01-s06,fedora,fedora,fedora,1,6,2026-09-14T00:49:55+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,6.004,354.8,87.9,302.145,877.547,11.1,21.54,11.75,3.373,1.999,0.0,11.754,19.0,1.834
fedora-r01-s07,fedora,fedora,fedora,1,7,2026-09-14T00:49:55+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,7.004,371.8,92.3,302.164,877.438,11.1,25.071,14.0,3.53,2.249,0.0,14.004,19.0,2.008
fedora-r01-s08,fedora,fedora,fedora,1,8,2026-09-14T00:49:55+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,8.005,365.8,90.6,302.18,876.938,11.1,28.602,16.0,3.53,1.999,0.0,16.004,19.0,2.008
fedora-r01-s09,fedora,fedora,fedora,1,9,2026-09-14T00:49:55+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,9.006,359.5,88.9,301.906,876.375,11.1,31.53,18.25,2.924,2.247,0.0,18.254,7.0,2.008
fedora-r01-s10,fedora,fedora,fedora,1,10,2026-09-14T00:49:55+00:00,cb08f335d0e96a41e967f8d19eb99c4db4b4ac9cb6ffaa228641776b6e82dcb3,0,10.007,36.0,9.4,0.0,637.805,8.1,31.53,18.615,0.0,0.365,0.0,18.617,1.0,2.008
