family,distribution,metric,n,mean,median,variance,std,cv_percent,min,q1,q3,max,range,iqr
arch,arch-linux,process_cpu_mean_percent,10,331.5559999999999,330.605,13.644693333333338,3.6938724034992516,1.1141021135190594,328.11,329.04999999999995,332.88,340.26,12.149999999999977,3.830000000000041
arch,arch-linux,process_cpu_peak_percent,10,372.24000000000007,372.3,6.3693333333333255,2.523753817893759,0.6779910321012677,369.8,369.92499999999995,372.8,376.4,6.599999999999966,2.875000000000057
arch,arch-linux,system_cpu_mean_percent,10,81.987,81.72,0.9981344444444495,0.9990667867787666,1.2185673177195977,81.07,81.2425,82.39750000000001,84.31,3.240000000000009,1.1550000000000011
arch,arch-linux,system_cpu_peak_percent,10,92.19999999999999,92.1,0.35999999999999727,0.5999999999999978,0.6507592190889347,91.4,91.9,92.3,93.3,1.8999999999999915,0.3999999999999915
arch,arch-linux,process_rss_mean_mb,10,295.4803,294.8105,14.739363566666619,3.8391878785319453,1.2993041764652147,289.663,292.3435,298.54025,300.544,10.880999999999972,6.196750000000009
arch,arch-linux,process_rss_peak_mb,10,330.2538,331.746,20.47052551111119,4.524436485476527,1.3699877141388008,324.258,325.66274999999996,334.123,335.035,10.777000000000044,8.46025000000003
arch,arch-linux,system_memory_used_mean_mb,10,703.5844,704.9535000000001,93.28451071111111,9.658390689504701,1.3727408807677801,681.273,701.607,708.22,715.143,33.870000000000005,6.613000000000056
arch,arch-linux,system_memory_used_peak_mb,10,739.1648,739.094,114.31329662222194,10.691739644333936,1.4464622293071767,716.441,734.916,743.5487499999999,755.672,39.230999999999995,8.632749999999874
arch,arch-linux,threads_mean,10,16.58,16.6,0.32622222222222247,0.5711586664161041,3.444865298046467,16.0,16.025,17.1,17.2,1.1999999999999993,1.0750000000000028
arch,arch-linux,threads_peak,10,19.0,19.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,0.0,0.0
arch,arch-linux,elapsed_s,10,10.0086,10.008,3.600000000001536e-06,0.0018973665961014323,0.018957362629153252,10.007,10.007249999999999,10.00875,10.012,0.005000000000000782,0.0015000000000000568
arch,arch-linux,samples,10,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0
fedora,bazzite,process_cpu_mean_percent,10,332.8260000000001,330.98,14.753582222222247,3.8410392112320655,1.1540682552541162,330.43,330.73,332.485,342.47,12.04000000000002,1.7549999999999955
fedora,bazzite,process_cpu_peak_percent,10,373.35,373.8,4.633888888888898,2.152646949429678,0.5765761214489561,369.0,372.0,374.675,376.8,7.800000000000011,2.6750000000000114
fedora,bazzite,system_cpu_mean_percent,10,82.462,81.975,0.9186622222222235,0.9584686860937208,1.1623155951756212,81.88,81.9225,82.39750000000001,84.86,2.980000000000004,0.4750000000000085
fedora,bazzite,system_cpu_peak_percent,10,92.6,92.55,0.32888888888888873,0.573488351136175,0.6193178737971653,91.9,92.1,93.02499999999999,93.5,1.5999999999999943,0.9249999999999972
fedora,bazzite,process_rss_mean_mb,10,275.4423,275.4475,0.04700067777777827,0.21679639705903386,0.07870846164842288,275.007,275.31925,275.6015,275.701,0.6940000000000168,0.28224999999997635
fedora,bazzite,process_rss_peak_mb,10,306.4334,306.4335,0.05200604444444422,0.22804833795589088,0.07442019634801261,306.055,306.266,306.58325,306.762,0.7069999999999936,0.31725000000000136
