elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.0,317.9,78.6,324.281,710.934,9.0,4.144,1.5,4.143,1.5,0.0,1.504,19.0,0.261
2.001,367.7,90.9,324.82,710.66,9.0,7.612,3.5,3.466,1.998,0.0,3.504,19.0,0.261
3.004,369.6,91.9,325.004,710.316,9.0,11.206,5.75,3.581,2.242,0.0,5.754,19.0,0.261
4.005,365.9,89.7,325.047,718.395,9.1,14.644,7.75,3.436,1.999,0.0,7.754,19.0,0.261
5.005,367.8,91.1,325.059,718.086,9.1,18.175,9.75,3.53,1.999,0.0,9.754,19.0,0.721
6.006,354.8,87.4,325.164,717.992,9.1,21.519,11.75,3.342,1.999,0.0,11.754,19.0,0.721
7.007,369.6,91.3,325.176,718.09,9.1,25.05,14.0,3.528,2.248,0.0,14.004,19.0,0.721
8.007,366.8,90.1,325.219,725.66,9.2,28.487,16.0,3.436,1.999,0.0,16.004,19.0,0.721
9.008,361.7,89.6,324.977,725.758,9.2,31.447,18.25,2.957,2.248,0.0,18.254,7.0,0.721
10.009,41.0,10.4,0.0,437.281,5.5,31.447,18.618,0.0,0.368,0.0,18.621,1.0,0.743
