elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.002,300.3,74.5,304.699,1004.281,12.7,3.971,1.25,3.962,1.247,0.0,1.254,19.0,3.009
2.003,367.8,90.4,305.875,1004.707,12.7,7.439,3.5,3.467,2.249,0.0,3.504,19.0,3.009
3.004,369.4,91.8,306.27,1004.422,12.7,11.033,5.5,3.588,1.997,0.0,5.504,19.0,3.009
4.005,369.8,91.6,306.352,1003.922,12.7,14.533,7.5,3.498,1.999,0.0,7.504,19.0,3.089
5.005,371.8,92.1,306.391,1003.367,12.7,18.064,9.75,3.53,2.249,0.0,9.754,19.0,3.089
6.007,360.5,89.6,306.492,1002.867,12.7,21.439,11.75,3.371,1.997,0.0,11.754,19.0,3.089
7.007,371.8,91.9,306.508,1002.367,12.7,24.877,13.75,3.435,1.999,0.0,13.754,19.0,3.089
8.008,366.8,90.4,306.551,1001.805,12.6,28.377,16.0,3.498,2.249,0.0,16.004,19.0,3.089
9.008,367.8,91.1,306.531,1001.523,12.6,31.555,18.0,3.176,1.999,0.0,18.004,12.0,3.482
10.009,63.9,15.8,0.0,767.543,9.7,31.555,18.615,0.0,0.615,0.0,18.617,1.0,3.482
