elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.002,303.3,75.6,304.762,984.742,12.4,4.064,1.5,4.056,1.497,0.0,1.504,19.0,2.026
2.002,367.8,90.9,305.961,985.27,12.4,7.532,3.5,3.467,1.999,0.0,3.504,19.0,2.026
3.004,368.5,91.4,306.383,984.988,12.4,11.064,5.5,3.527,1.997,0.0,5.504,19.0,2.265
4.004,363.8,90.1,306.492,984.711,12.4,14.532,7.5,3.467,1.999,0.0,7.504,19.0,2.265
5.005,368.6,91.6,306.539,984.148,12.4,18.064,9.75,3.528,2.248,0.0,9.754,19.0,2.265
6.006,360.6,89.2,306.637,984.32,12.4,21.47,11.75,3.402,1.998,0.0,11.754,19.0,2.265
7.007,373.8,92.8,306.652,984.039,12.4,24.876,13.75,3.405,1.999,0.0,13.754,19.0,2.265
8.007,369.8,91.3,306.664,984.234,12.4,28.251,15.75,3.373,1.999,0.0,15.754,19.0,2.484
9.008,371.6,91.9,306.762,983.953,12.4,31.554,17.75,3.3,1.998,0.0,17.754,18.0,2.484
10.009,76.0,19.1,0.0,744.148,9.4,31.554,18.615,0.0,0.865,0.0,18.617,1.0,2.484
