elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.001,304.7,75.8,304.398,996.223,12.6,4.032,1.25,4.03,1.249,0.0,1.27,19.0,2.783
2.001,367.8,91.4,305.559,996.422,12.6,7.532,3.5,3.498,2.249,0.0,3.52,19.0,3.121
3.003,369.3,91.3,305.965,995.922,12.6,11.095,5.5,3.556,1.996,0.0,5.52,19.0,3.121
4.004,372.7,92.1,306.043,995.883,12.6,14.501,7.5,3.403,1.998,0.0,7.52,19.0,3.121
5.005,368.4,91.1,306.062,996.008,12.6,18.001,9.75,3.494,2.246,0.0,9.77,19.0,3.121
6.007,361.4,89.4,306.156,995.508,12.6,21.439,11.75,3.432,1.997,0.0,11.77,19.0,3.121
7.008,373.8,92.1,306.172,995.227,12.6,24.939,13.75,3.498,1.999,0.0,13.77,19.0,3.271
8.008,367.8,91.3,306.188,994.883,12.6,28.439,16.0,3.499,2.249,0.0,16.02,19.0,3.271
9.008,364.8,90.1,305.938,994.836,12.6,31.554,18.0,3.114,1.999,0.0,18.02,8.0,3.271
10.009,59.0,14.6,0.0,769.035,9.7,31.554,18.615,0.0,0.615,0.0,18.633,1.0,3.271
