elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.002,305.4,76.0,304.848,982.508,12.4,4.033,1.5,4.025,1.497,0.0,1.504,19.0,3.311
2.002,365.8,90.6,305.977,982.23,12.4,7.502,3.5,3.467,1.999,0.0,3.504,19.0,3.311
3.003,374.8,93.1,306.371,981.949,12.4,11.096,5.5,3.592,1.999,0.0,5.504,19.0,3.311
4.003,369.8,91.6,306.461,981.391,12.4,14.658,7.75,3.56,2.248,0.0,7.754,19.0,3.311
5.004,370.7,91.6,306.477,981.344,12.4,18.127,9.75,3.466,1.999,0.0,9.754,19.0,3.446
6.005,359.8,89.4,306.566,981.52,12.4,21.564,11.75,3.436,1.999,0.0,11.754,19.0,3.446
7.006,369.6,92.1,306.578,981.258,12.4,25.033,13.75,3.465,1.998,0.0,13.754,19.0,3.446
8.006,369.8,91.4,306.594,980.914,12.4,28.564,16.0,3.529,2.248,0.0,16.004,19.0,3.446
9.007,367.6,91.6,306.258,980.414,12.4,31.555,18.0,2.988,1.998,0.0,18.004,7.0,3.446
10.008,51.0,12.2,0.0,744.957,9.4,31.555,18.615,0.0,0.615,0.0,18.617,1.0,3.491
