elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.001,308.6,76.5,304.602,1000.613,12.6,4.064,1.5,4.059,1.498,0.0,1.535,19.0,3.491
2.002,364.8,90.4,305.695,1000.117,12.6,7.471,3.5,3.404,1.999,0.0,3.535,19.0,3.772
3.002,364.8,90.4,306.145,1000.285,12.6,11.033,5.5,3.56,1.999,0.0,5.535,19.0,3.772
4.003,368.7,91.6,306.227,1000.035,12.6,14.502,7.5,3.466,1.998,0.0,7.535,19.0,3.772
5.004,365.6,90.1,306.25,999.691,12.6,18.002,9.75,3.496,2.247,0.0,9.785,19.0,3.772
6.005,360.8,89.6,306.34,999.191,12.6,21.408,11.75,3.405,1.999,0.0,11.785,19.0,3.772
7.005,371.8,92.3,306.363,999.152,12.6,24.877,13.75,3.467,1.999,0.0,13.785,19.0,3.871
8.007,363.4,89.7,306.414,998.887,12.6,28.314,15.75,3.431,1.996,0.0,15.785,19.0,3.871
9.007,370.8,91.4,306.391,998.324,12.6,31.555,18.0,3.239,2.249,0.0,18.035,12.0,3.871
10.008,67.9,16.8,0.0,755.766,9.5,31.555,18.615,0.0,0.615,0.0,18.648,1.0,3.871
