elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.002,309.5,77.2,300.18,876.18,11.1,4.131,1.5,4.125,1.498,0.0,1.504,19.0,0.426
2.002,359.8,89.4,301.285,877.117,11.1,7.569,3.5,3.436,1.999,0.0,3.504,19.0,0.426
3.002,368.8,91.1,301.672,876.992,11.1,11.194,5.75,3.623,2.249,0.0,5.754,19.0,0.792
4.003,363.8,89.6,301.785,876.652,11.1,14.694,7.75,3.498,1.999,0.0,7.754,19.0,0.792
5.004,366.7,90.7,301.812,876.387,11.1,18.256,9.75,3.559,1.998,0.0,9.754,19.0,0.792
6.004,358.9,89.1,301.902,876.965,11.1,21.662,12.0,3.405,2.249,0.0,12.004,19.0,0.792
7.006,368.2,91.4,301.914,876.906,11.1,25.287,14.0,3.617,1.996,0.0,14.004,19.0,0.792
8.007,364.9,89.9,301.93,877.023,11.1,28.787,16.25,3.499,2.249,0.0,16.254,19.0,1.21
9.007,361.8,88.9,301.66,876.523,11.1,31.528,18.25,2.739,1.999,0.0,18.254,7.0,1.21
10.008,14.0,3.7,0.0,628.961,7.9,31.528,18.615,0.0,0.365,0.0,18.617,1.0,1.21
