elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.0,297.9,74.6,344.684,759.16,9.6,4.19,1.5,4.19,1.5,0.0,1.504,19.0,0.244
2.001,333.8,83.3,345.043,757.566,9.5,7.377,3.25,3.186,1.749,0.0,3.254,19.0,0.705
3.001,341.8,85.5,345.211,763.562,9.6,10.784,5.25,3.404,1.999,0.0,5.254,19.0,0.705
4.002,343.9,85.9,345.309,761.445,9.6,14.096,7.25,3.311,1.999,0.0,7.254,19.0,0.705
5.004,345.1,86.2,345.324,775.254,9.8,17.471,9.25,3.366,1.995,0.0,9.254,19.0,0.705
6.005,343.8,86.0,345.332,773.195,9.7,20.752,11.25,3.28,1.999,0.0,11.258,19.0,0.705
7.005,343.8,86.0,345.344,771.242,9.7,24.065,13.25,3.311,1.999,0.0,13.258,19.0,1.29
8.006,348.9,87.3,345.359,770.898,9.7,27.471,15.25,3.405,1.999,0.0,15.258,19.0,1.29
9.006,353.9,88.1,345.395,768.844,9.7,30.877,17.25,3.405,1.999,0.0,17.258,19.0,1.29
10.007,171.9,42.1,0.0,466.23,5.9,,,,,,,1.0,1.29
