elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.0,317.8,80.1,322.859,823.672,10.4,4.115,1.5,4.114,1.5,0.0,1.504,19.0,3.279
2.002,362.6,89.4,323.395,824.34,10.4,7.553,3.5,3.434,1.998,0.0,3.504,19.0,3.279
3.002,366.8,90.3,331.574,840.074,10.6,11.053,5.5,3.498,1.999,0.0,5.504,19.0,3.279
4.003,366.7,90.4,331.629,840.465,10.6,14.49,7.75,3.435,2.248,0.0,7.754,19.0,3.279
5.003,368.8,91.4,331.652,838.984,10.6,17.99,9.75,3.498,1.999,0.0,9.754,19.0,3.279
6.004,356.9,87.9,331.742,837.242,10.6,21.365,11.75,3.374,1.999,0.0,11.754,19.0,3.256
7.004,370.7,92.1,331.754,836.934,10.6,24.834,13.75,3.466,1.999,0.0,13.754,19.0,3.256
8.005,364.9,89.6,331.77,835.148,10.5,28.303,16.0,3.467,2.249,0.0,16.004,19.0,3.256
9.006,365.8,89.9,331.637,833.34,10.5,31.45,18.0,3.145,1.999,0.0,18.004,12.0,3.256
10.006,61.0,15.7,0.0,528.52,6.7,31.45,18.618,0.0,0.618,0.0,18.621,1.0,3.256
