elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.0,320.9,79.8,329.441,831.84,10.5,4.177,1.5,4.177,1.5,0.0,1.504,19.0,3.158
2.002,367.3,90.6,329.949,831.039,10.5,7.583,3.5,3.4,1.996,0.0,3.504,19.0,3.158
3.002,370.8,91.4,330.121,829.648,10.5,11.177,5.75,3.592,2.249,0.0,5.754,19.0,3.158
4.003,364.8,89.7,330.164,827.578,10.4,14.583,7.75,3.405,1.999,0.0,7.754,19.0,3.158
5.004,370.7,91.8,330.184,824.953,10.4,18.146,9.75,3.56,1.998,0.0,9.754,19.0,3.306
6.004,361.8,89.6,330.266,831.816,10.5,21.521,11.75,3.373,1.999,0.0,11.754,19.0,3.306
7.005,368.6,91.1,330.277,831.441,10.5,25.021,14.0,3.496,2.248,0.0,14.004,19.0,3.306
8.006,369.8,91.2,330.324,831.367,10.5,28.489,16.0,3.467,1.999,0.0,16.004,19.0,3.306
9.006,362.8,89.6,329.953,831.34,10.5,31.449,18.0,2.958,1.999,0.0,18.004,7.0,3.306
10.006,41.0,10.4,0.0,535.105,6.7,31.449,18.618,0.0,0.618,0.0,18.621,1.0,3.041
