elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.001,321.7,79.6,320.219,806.344,10.2,4.146,1.5,4.143,1.499,0.0,1.504,19.0,2.995
2.001,352.8,87.2,323.84,809.789,10.2,7.489,3.5,3.342,1.999,0.0,3.504,19.0,2.995
3.002,369.6,90.9,324.023,809.227,10.2,11.083,5.75,3.59,2.248,0.0,5.754,19.0,3.156
4.003,363.8,89.9,324.047,808.945,10.2,14.521,7.75,3.436,1.999,0.0,7.754,19.0,3.156
5.004,367.8,90.9,324.086,809.375,10.2,17.989,9.75,3.467,1.999,0.0,9.754,19.0,3.156
6.006,358.2,88.4,324.168,808.84,10.2,21.364,11.75,3.367,1.995,0.0,11.754,19.0,3.156
7.006,371.8,92.1,324.184,808.539,10.2,24.927,13.75,3.56,1.999,0.0,13.754,19.0,3.156
8.007,369.9,90.6,324.195,808.402,10.2,28.427,16.0,3.499,2.249,0.0,16.004,19.0,3.464
9.008,369.6,91.8,323.828,807.816,10.2,31.449,18.25,3.019,2.248,0.0,18.254,7.0,3.464
10.008,40.0,9.7,0.0,523.633,6.6,31.449,18.618,0.0,0.368,0.0,18.621,1.0,3.464
