elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.0,320.9,79.4,324.953,816.371,10.3,4.208,1.5,4.208,1.5,0.0,1.504,19.0,3.041
2.002,365.2,90.6,325.57,815.871,10.3,7.708,3.5,3.493,1.996,0.0,3.504,19.0,3.118
3.003,370.8,91.6,325.785,815.316,10.3,11.271,5.75,3.561,2.249,0.0,5.754,19.0,3.118
4.004,362.3,89.7,325.809,814.816,10.3,14.739,7.75,3.462,1.996,0.0,7.754,19.0,3.118
5.005,372.8,91.8,325.82,814.254,10.3,18.271,10.0,3.53,2.249,0.0,10.004,19.0,3.118
6.008,361.0,89.2,325.902,821.699,10.4,21.739,12.0,3.459,1.994,0.0,12.004,19.0,3.118
7.008,367.8,91.4,325.93,821.312,10.4,25.239,14.0,3.498,1.999,0.0,14.004,19.0,3.108
8.009,365.9,90.1,326.066,824.934,10.4,28.739,16.25,3.499,2.249,0.0,16.254,19.0,3.108
9.009,358.8,88.7,325.699,822.168,10.4,31.449,18.25,2.708,1.999,0.0,18.254,7.0,3.108
10.01,19.0,4.7,0.0,539.242,6.8,31.449,18.618,0.0,0.368,0.0,18.621,1.0,3.108
