elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.001,323.7,80.0,323.977,807.883,10.2,4.178,1.5,4.175,1.499,0.0,1.504,19.0,2.05
2.004,360.9,89.2,324.516,808.098,10.2,7.615,3.5,3.427,1.994,0.0,3.504,19.0,2.05
3.004,367.8,91.2,324.715,807.535,10.2,11.209,5.75,3.592,2.249,0.0,5.754,19.0,2.05
4.005,365.8,90.3,324.738,807.469,10.2,14.647,7.75,3.436,1.999,0.0,7.754,19.0,2.447
5.005,372.9,92.6,324.762,807.102,10.2,18.209,10.0,3.561,2.249,0.0,10.004,19.0,2.447
6.005,354.8,87.9,324.848,807.023,10.2,21.584,12.0,3.374,1.999,0.0,12.004,19.0,2.447
7.008,376.0,93.1,324.887,814.59,10.3,25.115,14.0,3.522,1.995,0.0,14.004,19.0,2.447
8.008,362.8,89.4,324.941,815.215,10.3,28.615,16.0,3.498,1.999,0.0,16.004,19.0,2.447
9.009,362.8,89.2,324.793,819.051,10.3,31.45,18.25,2.833,2.249,0.0,18.254,7.0,2.731
10.009,32.0,8.0,0.0,534.602,6.7,31.45,18.618,0.0,0.368,0.0,18.621,1.0,2.731
