elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.001,321.7,79.7,323.094,842.871,10.6,4.207,1.5,4.204,1.499,0.0,1.504,19.0,2.859
2.001,367.8,90.9,323.617,843.23,10.6,7.707,3.75,3.498,2.249,0.0,3.754,19.0,2.859
3.003,363.4,89.7,323.801,842.727,10.6,11.207,5.75,3.495,1.997,0.0,5.754,19.0,2.859
4.003,368.8,91.1,323.867,842.445,10.6,14.801,7.75,3.592,1.999,0.0,7.754,19.0,3.432
5.005,373.2,92.4,323.879,839.227,10.6,18.363,10.0,3.555,2.245,0.0,10.004,19.0,3.432
6.006,360.9,89.4,331.891,849.305,10.7,21.832,12.0,3.467,1.999,0.0,12.004,19.0,3.432
7.007,371.4,92.5,331.902,844.77,10.7,25.363,14.25,3.526,2.247,0.0,14.254,19.0,3.432
8.008,366.8,90.2,331.918,848.387,10.7,28.895,16.25,3.53,1.999,0.0,16.254,19.0,3.432
9.009,356.7,88.0,329.828,841.066,10.6,31.448,18.5,2.551,2.248,0.0,18.504,7.0,3.478
10.01,6.0,1.5,0.0,535.395,6.8,31.448,18.618,0.0,0.118,0.0,18.621,1.0,3.478
