elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.002,322.4,79.5,325.391,722.391,9.1,4.175,1.5,4.167,1.497,0.0,1.504,19.0,3.292
2.004,362.3,89.2,334.633,737.883,9.3,7.581,3.5,3.4,1.996,0.0,3.504,19.0,3.292
3.004,369.8,91.9,334.789,737.332,9.3,11.112,5.75,3.53,2.249,0.0,5.754,19.0,3.292
4.005,367.8,91.1,334.852,737.051,9.3,14.581,7.75,3.467,1.999,0.0,7.754,19.0,3.269
5.005,370.9,92.1,334.867,737.004,9.3,18.081,9.75,3.499,1.999,0.0,9.754,19.0,3.269
6.007,358.4,88.7,334.949,736.965,9.3,21.487,11.75,3.401,1.997,0.0,11.754,19.0,3.269
7.007,371.8,92.3,334.965,736.395,9.3,24.987,14.0,3.498,2.249,0.0,14.004,19.0,3.269
8.008,371.8,92.1,334.98,743.742,9.4,28.331,16.0,3.342,1.999,0.0,16.004,19.0,3.269
9.008,365.8,90.9,335.035,743.68,9.4,31.447,18.0,3.114,1.999,0.0,18.004,18.0,3.408
10.009,73.0,17.8,0.0,437.516,5.5,31.447,18.618,0.0,0.618,0.0,18.621,1.0,3.408
