elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.001,320.5,79.6,323.215,734.797,9.3,4.145,1.5,4.139,1.498,0.0,1.504,19.0,3.194
2.002,368.8,91.3,323.758,734.523,9.3,7.582,3.5,3.436,1.999,0.0,3.504,19.0,3.194
3.004,366.4,90.6,323.938,734.641,9.3,11.113,5.75,3.526,2.246,0.0,5.754,19.0,3.194
4.004,368.8,91.4,323.98,733.395,9.3,14.613,7.75,3.499,1.999,0.0,7.754,19.0,3.194
5.004,366.8,90.6,323.992,730.609,9.2,18.082,9.75,3.467,1.999,0.0,9.754,19.0,3.194
6.006,359.3,88.9,324.074,728.078,9.2,21.457,11.75,3.368,1.996,0.0,11.754,19.0,3.419
7.008,376.3,93.3,324.09,725.711,9.2,24.988,14.0,3.524,2.246,0.0,14.004,19.0,3.419
8.009,369.6,91.6,325.191,732.914,9.2,28.488,16.0,3.497,1.998,0.0,16.004,19.0,3.419
9.01,361.7,88.9,324.957,732.609,9.2,31.448,18.0,2.957,1.998,0.0,18.004,7.0,3.419
10.011,47.0,12.2,0.0,443.734,5.6,31.448,18.618,0.0,0.618,0.0,18.621,1.0,3.419
