elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.001,317.5,78.2,323.426,719.355,9.1,4.144,1.5,4.138,1.498,0.0,1.504,19.0,2.213
2.002,364.8,89.9,323.812,719.098,9.1,7.581,3.5,3.436,1.999,0.0,3.504,19.0,2.213
3.002,368.7,91.1,324.062,719.211,9.1,11.112,5.75,3.529,2.248,0.0,5.754,19.0,2.213
4.003,363.8,90.1,324.105,718.711,9.1,14.519,7.75,3.405,1.999,0.0,7.754,19.0,2.213
5.003,367.9,90.6,324.117,718.211,9.1,18.019,9.75,3.499,1.999,0.0,9.754,19.0,2.597
6.004,361.8,89.7,332.129,730.359,9.2,21.425,11.75,3.405,1.999,0.0,11.754,19.0,2.597
7.004,370.0,91.9,332.145,730.297,9.2,24.925,13.75,3.499,1.999,0.0,13.754,19.0,2.597
8.007,366.8,90.7,332.156,736.965,9.3,28.394,16.0,3.46,2.244,0.0,16.004,19.0,2.597
9.007,364.8,90.4,331.98,736.492,9.3,31.447,18.0,3.052,1.999,0.0,18.004,8.0,2.597
10.008,51.0,12.9,0.0,432.738,5.5,31.447,18.618,0.0,0.618,0.0,18.621,1.0,2.709
