elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.001,319.7,78.9,322.461,728.453,9.2,4.144,1.5,4.14,1.499,0.0,1.504,19.0,3.226
2.003,358.1,87.9,323.012,736.031,9.3,7.487,3.5,3.336,1.995,0.0,3.504,19.0,3.368
3.004,369.8,91.6,323.195,735.75,9.3,11.05,5.5,3.561,1.999,0.0,5.504,19.0,3.368
4.005,361.6,89.4,323.219,735.406,9.3,14.487,7.75,3.434,2.247,0.0,7.754,19.0,3.368
5.005,363.8,89.9,331.184,748.426,9.4,17.894,9.75,3.405,1.999,0.0,9.754,19.0,3.368
6.006,359.9,88.9,331.27,747.922,9.4,21.3,11.75,3.405,1.999,0.0,11.754,19.0,3.368
7.006,365.7,90.3,331.293,748.078,9.4,24.737,13.75,3.435,1.998,0.0,13.754,19.0,3.579
8.01,368.8,90.7,331.309,755.672,9.5,28.237,15.75,3.488,1.993,0.0,15.754,19.0,3.579
9.011,366.6,90.1,331.336,755.359,9.5,31.447,17.75,3.206,1.998,0.0,17.754,18.0,3.579
10.012,72.9,18.3,0.0,444.336,5.6,31.447,18.618,0.0,0.868,0.0,18.621,1.0,3.579
