elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.0,320.9,79.1,324.215,727.883,9.2,4.176,1.5,4.176,1.5,0.0,1.504,19.0,1.501
2.002,369.4,90.9,324.723,727.598,9.2,7.645,3.5,3.463,1.997,0.0,3.504,19.0,1.501
3.002,368.8,91.1,324.926,727.258,9.2,11.207,5.75,3.561,2.249,0.0,5.754,19.0,1.501
4.004,364.3,90.1,334.773,742.969,9.4,14.676,7.75,3.462,1.996,0.0,7.754,19.0,1.862
5.005,367.8,90.6,334.789,742.688,9.4,18.176,9.75,3.499,1.999,0.0,9.754,19.0,1.862
6.005,353.8,87.6,334.875,742.395,9.4,21.488,11.75,3.311,1.999,0.0,11.754,19.0,1.862
7.006,372.8,92.1,334.887,742.027,9.4,25.02,14.0,3.53,2.249,0.0,14.004,19.0,1.862
8.006,367.7,90.6,334.906,741.742,9.4,28.52,16.0,3.497,1.998,0.0,16.004,19.0,1.862
9.007,363.8,89.9,334.672,741.375,9.4,31.448,18.25,2.927,2.249,0.0,18.254,7.0,2.113
10.007,39.0,9.4,0.0,431.543,5.4,31.448,18.618,0.0,0.368,0.0,18.621,1.0,2.113
