elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.001,311.7,78.1,313.406,877.32,11.8,4.267,1.5,4.264,1.499,0.0,1.504,19.0,1.489
2.002,347.7,86.8,314.539,876.828,11.8,7.642,3.5,3.372,1.998,0.0,3.504,19.0,1.489
3.003,354.6,88.6,314.902,876.766,11.8,11.142,5.5,3.496,1.998,0.0,5.504,19.0,1.69
4.003,352.9,88.1,315.004,876.23,11.8,14.549,7.5,3.405,1.999,0.0,7.504,19.0,1.69
5.004,357.8,89.8,315.02,876.539,11.8,18.017,9.75,3.467,2.249,0.0,9.754,19.0,1.69
6.004,346.8,86.6,315.102,876.086,11.8,21.33,11.5,3.311,1.749,0.0,11.504,19.0,1.69
7.006,351.3,88.2,315.133,875.711,11.8,24.736,13.75,3.4,2.246,0.0,13.754,19.0,1.69
8.008,353.4,88.4,315.148,875.406,11.8,28.236,15.75,3.495,1.997,0.0,15.754,19.0,1.956
9.008,350.9,87.9,315.219,872.977,11.8,31.445,17.75,3.208,1.999,0.0,17.754,18.0,1.956
10.009,93.9,23.6,0.0,591.543,8.0,,,,,,,1.0,1.956
