elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.0,324.8,80.8,319.234,801.793,10.1,4.24,1.5,4.238,1.499,0.0,1.504,19.0,1.561
2.002,369.6,90.9,323.742,806.418,10.2,7.74,3.75,3.496,2.247,0.0,3.754,19.0,1.561
3.002,372.8,92.3,323.871,806.133,10.2,11.365,5.75,3.623,1.999,0.0,5.754,19.0,1.561
4.003,368.5,90.9,323.961,806.477,10.2,14.865,8.0,3.495,2.247,0.0,8.004,19.0,1.561
5.004,369.8,91.6,331.809,825.551,10.4,18.397,10.0,3.53,1.999,0.0,10.004,19.0,1.756
6.004,354.9,87.2,331.891,825.031,10.4,21.74,12.0,3.342,1.999,0.0,12.004,19.0,1.756
7.005,369.6,91.6,331.906,824.938,10.4,25.272,14.0,3.528,1.998,0.0,14.004,19.0,1.756
8.007,371.3,92.1,331.945,824.801,10.4,28.834,16.25,3.556,2.246,0.0,16.254,19.0,1.756
9.008,366.9,91.1,331.578,825.367,10.4,31.45,18.5,2.615,2.249,0.0,18.504,7.0,1.756
10.008,5.0,1.2,0.0,526.082,6.6,31.45,18.618,0.0,0.118,0.0,18.621,1.0,1.615
