elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.004,312.6,78.3,313.414,856.77,11.5,4.297,1.5,4.279,1.494,0.0,1.504,19.0,2.831
2.005,346.8,86.9,314.5,856.488,11.5,7.609,3.5,3.311,1.999,0.0,3.504,19.0,2.831
3.006,357.5,89.4,314.891,856.23,11.5,11.172,5.5,3.557,1.997,0.0,5.504,19.0,2.831
4.007,354.8,88.9,314.973,855.727,11.5,14.609,7.5,3.436,1.999,0.0,7.504,19.0,2.831
5.008,350.4,87.7,314.996,855.449,11.5,17.984,9.5,3.37,1.997,0.0,9.504,19.0,3.005
6.009,342.9,85.8,315.09,855.629,11.5,21.234,11.5,3.249,1.999,0.0,11.504,19.0,3.005
7.009,349.9,87.4,315.105,855.105,11.5,24.578,13.5,3.342,1.999,0.0,13.504,19.0,3.005
8.01,355.7,89.1,315.121,854.523,11.5,28.047,15.75,3.466,2.248,0.0,15.754,19.0,3.005
9.01,356.8,89.2,315.254,854.422,11.5,31.444,17.75,3.395,1.999,0.0,17.754,18.0,3.005
10.011,111.9,28.0,0.0,585.836,7.9,,,,,,,1.0,2.764
