elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.002,323.3,81.1,313.578,869.883,11.7,4.205,1.5,4.196,1.497,0.0,1.504,19.0,3.595
2.002,347.9,87.1,314.617,869.906,11.7,7.392,3.25,3.186,1.749,0.0,3.254,19.0,3.595
3.004,357.4,89.4,314.973,869.41,11.7,10.83,5.25,3.432,1.997,0.0,5.254,19.0,3.595
4.005,352.8,88.4,315.094,869.605,11.7,14.142,7.25,3.311,1.999,0.0,7.254,19.0,3.595
5.005,350.9,87.8,315.113,869.105,11.7,17.517,9.25,3.374,1.999,0.0,9.254,19.0,3.595
6.005,346.8,86.4,315.211,869.051,11.7,20.799,11.25,3.28,1.999,0.0,11.254,19.0,3.708
7.006,350.8,87.9,315.223,867.605,11.7,24.174,13.25,3.373,1.999,0.0,13.254,19.0,3.708
8.006,352.8,88.4,315.242,867.297,11.7,27.517,15.25,3.342,1.999,0.0,15.254,19.0,3.708
9.007,356.8,89.4,315.254,867.215,11.7,30.924,17.25,3.405,1.999,0.0,17.254,19.0,3.708
10.008,169.8,42.2,0.0,595.652,8.0,,,,,,,1.0,3.708
