elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.001,315.6,79.0,313.344,863.328,11.6,4.361,1.5,4.355,1.498,0.0,1.504,19.0,3.29
2.006,353.3,88.4,314.461,863.074,11.6,7.767,3.5,3.39,1.991,0.0,3.504,19.0,3.29
3.006,354.8,89.0,314.832,862.797,11.6,11.236,5.5,3.467,1.999,0.0,5.504,19.0,3.29
4.007,347.8,86.8,314.902,862.52,11.6,14.611,7.5,3.373,1.999,0.0,7.504,19.0,3.347
5.008,350.5,87.9,314.918,862.176,11.6,18.017,9.75,3.402,2.247,0.0,9.754,19.0,3.347
6.009,346.9,86.6,315.004,861.945,11.6,21.299,11.5,3.28,1.749,0.0,11.504,19.0,3.347
7.01,360.4,90.2,315.047,861.617,11.6,24.767,13.75,3.463,2.246,0.0,13.754,19.0,3.347
8.011,351.8,88.1,315.082,861.602,11.6,27.986,15.5,3.217,1.749,0.0,15.504,19.0,3.347
9.011,353.9,88.9,315.094,861.297,11.6,31.267,17.5,3.28,1.999,0.0,17.504,19.0,3.56
10.012,135.9,33.7,0.0,601.891,8.1,,,,,,,1.0,3.56
