elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.003,311.9,78.2,313.434,864.426,11.7,4.267,1.5,4.253,1.495,0.0,1.504,19.0,2.564
2.004,345.8,86.4,314.535,864.145,11.6,7.549,3.5,3.28,1.999,0.0,3.504,19.0,2.564
3.005,350.6,87.9,314.906,864.105,11.6,10.924,5.5,3.371,1.998,0.0,5.504,19.0,2.564
4.007,358.1,89.5,315.0,864.07,11.6,14.33,7.5,3.398,1.995,0.0,7.504,19.0,2.564
5.008,345.9,86.6,315.02,863.562,11.6,17.674,9.5,3.342,1.999,0.0,9.504,19.0,2.564
6.008,351.9,88.4,315.113,863.031,11.6,21.017,11.5,3.342,1.999,0.0,11.504,19.0,2.76
7.009,360.8,90.2,315.129,863.488,11.6,24.424,13.5,3.405,1.999,0.0,13.504,19.0,2.76
8.009,354.8,88.6,315.148,863.195,11.6,27.767,15.5,3.342,1.999,0.0,15.504,19.0,2.76
9.011,352.3,88.2,315.16,863.562,11.6,31.08,17.5,3.305,1.996,0.0,17.504,19.0,2.76
10.012,151.9,37.5,0.0,589.461,7.9,,,,,,,1.0,2.76
