elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.002,312.2,78.4,310.367,852.051,11.5,4.267,1.5,4.257,1.496,0.0,1.504,19.0,1.98
2.003,353.8,88.4,314.426,859.871,11.6,7.642,3.5,3.374,1.999,0.0,3.504,19.0,1.98
3.004,352.4,88.4,314.848,859.605,11.6,11.08,5.5,3.432,1.997,0.0,5.504,19.0,1.98
4.005,351.7,87.9,314.926,859.551,11.6,14.455,7.5,3.372,1.998,0.0,7.504,19.0,2.303
5.007,353.3,88.7,314.941,867.113,11.7,17.892,9.5,3.431,1.996,0.0,9.504,19.0,2.303
6.008,346.9,86.9,315.027,866.668,11.7,21.174,11.5,3.28,1.999,0.0,11.504,19.0,2.303
7.008,354.9,88.4,315.043,866.367,11.7,24.58,13.5,3.405,1.999,0.0,13.504,19.0,2.303
8.011,349.9,87.7,315.059,874.395,11.8,27.955,15.5,3.364,1.994,0.0,15.504,19.0,2.303
9.012,352.9,88.4,315.086,874.098,11.8,31.267,17.5,3.311,1.999,0.0,17.504,19.0,2.439
10.012,132.9,33.0,0.0,596.859,8.0,,,,,,,1.0,2.439
