elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.0,308.9,77.2,345.27,773.977,9.7,4.251,1.5,4.25,1.5,0.0,1.504,19.0,3.008
2.004,343.6,86.1,348.012,787.711,9.9,7.563,3.5,3.299,1.992,0.0,3.504,19.0,3.008
3.005,354.9,88.6,348.25,793.543,10.0,11.032,5.5,3.467,1.999,0.0,5.504,19.0,3.008
4.006,347.4,86.8,348.328,791.598,10.0,14.407,7.5,3.369,1.996,0.0,7.504,19.0,3.008
5.007,343.9,85.8,348.34,787.875,9.9,17.72,9.5,3.311,1.999,0.0,9.504,19.0,3.008
6.008,342.7,85.4,348.367,782.953,9.9,21.001,11.5,3.278,1.998,0.0,11.504,19.0,3.408
7.012,351.4,87.7,348.379,778.934,9.8,24.438,13.5,3.422,1.991,0.0,13.504,19.0,3.408
8.016,342.6,85.8,348.395,775.246,9.8,27.751,15.5,3.299,1.992,0.0,15.504,19.0,3.408
9.017,350.8,87.9,348.406,772.844,9.7,31.157,17.5,3.405,1.999,0.0,17.504,19.0,3.408
10.017,144.9,35.9,0.0,471.18,5.9,,,,,,,1.0,3.408
