elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.0,308.9,77.4,345.602,773.762,9.7,4.282,1.5,4.281,1.5,0.0,1.504,19.0,3.135
2.003,349.0,87.1,345.91,771.668,9.7,7.626,3.5,3.334,1.994,0.0,3.504,19.0,3.135
3.003,350.8,87.5,346.09,769.855,9.7,11.095,5.5,3.467,1.999,0.0,5.504,19.0,3.284
4.007,349.8,87.4,346.148,767.914,9.7,14.47,7.5,3.363,1.993,0.0,7.504,19.0,3.284
5.007,345.9,86.4,346.16,773.637,9.7,17.876,9.5,3.405,1.999,0.0,9.504,19.0,3.284
6.008,338.9,84.3,346.172,771.688,9.7,21.126,11.5,3.249,1.999,0.0,11.504,19.0,3.284
7.009,352.8,88.0,346.184,769.727,9.7,24.501,13.5,3.373,1.999,0.0,13.504,19.0,3.284
8.009,346.9,86.6,346.195,767.66,9.7,27.876,15.5,3.374,1.999,0.0,15.504,19.0,3.582
9.011,346.3,86.7,349.066,773.527,9.7,31.251,17.5,3.369,1.996,0.0,17.504,19.0,3.582
10.012,135.8,33.1,0.0,465.523,5.9,,,,,,,1.0,3.582
