elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.001,311.5,77.8,349.277,759.555,9.6,4.252,1.5,4.247,1.498,0.0,1.504,19.0,3.253
2.003,345.4,86.4,349.719,757.527,9.5,7.565,3.5,3.307,1.997,0.0,3.504,19.0,3.253
3.003,351.8,87.5,349.844,763.477,9.6,10.971,5.5,3.405,1.999,0.0,5.504,19.0,3.253
4.006,342.9,86.1,349.918,769.527,9.7,14.252,7.25,3.271,1.745,0.0,7.254,19.0,3.553
5.007,346.9,86.4,349.93,767.605,9.7,17.565,9.25,3.311,1.999,0.0,9.254,19.0,3.553
6.007,338.8,84.8,349.938,773.352,9.7,20.784,11.25,3.217,1.999,0.0,11.254,19.0,3.553
7.008,350.8,87.8,349.953,771.395,9.7,24.19,13.25,3.404,1.999,0.0,13.254,19.0,3.553
8.01,355.4,88.5,349.965,769.527,9.7,27.627,15.25,3.432,1.997,0.0,15.254,19.0,3.553
9.01,342.9,85.8,349.977,767.871,9.7,30.94,17.25,3.311,1.999,0.0,17.254,19.0,3.83
10.011,164.9,41.8,0.0,468.781,5.9,,,,,,,1.0,3.83
