elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.0,302.8,76.2,345.777,775.199,9.8,4.19,1.5,4.188,1.499,0.0,1.504,19.0,3.295
2.001,347.7,86.8,346.137,773.336,9.7,7.534,3.5,3.341,1.998,0.0,3.504,19.0,3.295
3.003,345.5,86.2,346.281,775.383,9.8,10.877,5.25,3.339,1.748,0.0,5.254,19.0,3.295
4.003,350.9,87.8,346.348,773.504,9.7,14.221,7.25,3.342,1.999,0.0,7.254,19.0,3.295
5.006,352.2,88.0,346.359,771.102,9.7,17.596,9.5,3.367,2.245,0.0,9.504,19.0,3.111
6.006,341.8,85.1,346.371,769.344,9.7,20.846,11.25,3.248,1.749,0.0,11.254,19.0,3.111
7.007,350.8,87.7,349.242,775.211,9.8,24.221,13.25,3.374,1.999,0.0,13.254,19.0,3.111
8.007,352.8,88.3,349.258,773.262,9.7,27.627,15.25,3.404,1.999,0.0,15.254,19.0,3.111
9.008,352.7,88.0,349.273,771.316,9.7,31.002,17.25,3.372,1.998,0.0,17.254,19.0,3.111
10.008,158.9,39.4,0.0,470.48,5.9,,,,,,,1.0,3.182
