elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.0,306.9,76.5,346.355,756.082,9.5,4.221,1.5,4.221,1.5,0.0,1.504,19.0,2.183
2.001,343.8,85.9,346.883,757.949,9.5,7.565,3.5,3.342,1.999,0.0,3.504,19.0,2.489
3.001,351.9,88.0,346.996,756.133,9.5,11.002,5.5,3.436,1.999,0.0,5.504,19.0,2.489
4.006,346.4,86.3,347.039,756.137,9.5,14.377,7.5,3.36,1.991,0.0,7.504,19.0,2.489
5.008,347.0,86.7,347.059,754.574,9.5,17.784,9.5,3.396,1.994,0.0,9.504,19.0,2.489
6.009,334.9,83.9,347.074,754.172,9.5,20.971,11.5,3.186,1.999,0.0,11.504,19.0,2.489
7.009,355.8,88.7,347.086,752.035,9.5,24.409,13.5,3.436,1.999,0.0,13.504,19.0,2.85
8.012,354.2,88.7,350.074,764.246,9.6,27.877,15.5,3.461,1.996,0.0,15.504,19.0,2.85
9.012,349.8,87.3,350.094,762.367,9.6,31.284,17.5,3.405,1.999,0.0,17.504,19.0,2.85
10.012,131.9,33.3,0.0,468.184,5.9,,,,,,,1.0,2.85
