elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.0,306.9,75.9,299.855,873.746,11.0,4.039,1.5,4.039,1.5,0.0,1.504,19.0,2.7
2.001,367.8,91.3,301.035,873.406,11.0,7.508,3.5,3.467,1.999,0.0,3.504,19.0,2.7
3.002,368.6,91.1,301.469,873.113,11.0,11.133,5.5,3.621,1.998,0.0,5.504,19.0,2.7
4.002,358.8,88.2,301.535,872.832,11.0,14.539,7.5,3.405,1.999,0.0,7.504,19.0,2.7
5.003,367.6,90.6,301.566,872.723,11.0,18.101,9.75,3.558,2.247,0.0,9.754,19.0,2.7
6.004,355.8,88.4,301.652,872.676,11.0,21.476,11.75,3.374,1.999,0.0,11.754,19.0,2.884
7.005,366.6,90.4,301.668,872.418,11.0,24.945,13.75,3.465,1.998,0.0,13.754,19.0,2.884
8.005,366.8,90.6,301.688,872.074,11.0,28.476,16.0,3.53,2.249,0.0,16.004,19.0,2.884
9.006,363.9,90.0,301.414,870.418,11.0,31.53,18.0,3.052,1.999,0.0,18.004,7.0,2.884
10.006,48.0,12.4,0.0,636.996,8.0,31.53,18.615,0.0,0.615,0.0,18.617,1.0,2.884
