elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.001,309.7,77.0,300.52,864.594,10.9,4.101,1.5,4.098,1.499,0.0,1.504,19.0,3.098
2.001,364.8,90.2,301.629,865.266,10.9,7.539,3.5,3.436,1.999,0.0,3.504,19.0,3.33
3.002,361.8,89.4,301.973,865.227,10.9,11.07,5.5,3.53,1.999,0.0,5.504,19.0,3.33
4.002,366.8,90.9,302.062,864.883,10.9,14.601,7.75,3.53,2.249,0.0,7.754,19.0,3.33
5.003,369.7,91.4,302.105,864.383,10.9,18.133,9.75,3.529,1.999,0.0,9.754,19.0,3.33
6.004,356.6,88.4,302.191,864.102,10.9,21.539,11.75,3.403,1.998,0.0,11.754,19.0,3.33
7.004,368.8,91.3,302.203,863.758,10.9,25.07,14.0,3.53,2.249,0.0,14.004,19.0,3.544
8.005,361.8,89.2,302.238,863.711,10.9,28.539,16.0,3.467,1.999,0.0,16.004,19.0,3.544
9.005,360.8,89.7,301.973,863.43,10.9,31.53,18.0,2.989,1.999,0.0,18.004,7.0,3.544
10.006,49.0,12.2,0.0,616.34,7.8,31.53,18.615,0.0,0.615,0.0,18.617,1.0,3.544
