elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.001,307.7,76.1,297.074,886.492,11.2,4.069,1.5,4.066,1.499,0.0,1.504,19.0,3.313
2.001,366.8,91.4,301.238,890.211,11.2,7.569,3.5,3.498,1.999,0.0,3.504,19.0,3.313
3.003,363.4,89.7,301.582,889.84,11.2,11.101,5.5,3.525,1.997,0.0,5.504,19.0,3.313
4.004,366.8,90.4,301.707,889.465,11.2,14.601,7.75,3.498,2.249,0.0,7.754,19.0,3.313
5.004,364.8,90.1,301.727,888.473,11.2,18.101,9.75,3.498,1.999,0.0,9.754,19.0,3.449
6.005,357.8,88.4,301.812,887.414,11.2,21.476,11.75,3.373,1.999,0.0,11.754,19.0,3.449
7.007,366.0,90.4,301.828,886.918,11.2,24.944,13.75,3.46,1.995,0.0,13.754,19.0,3.449
8.008,368.8,91.8,301.844,886.809,11.2,28.476,16.0,3.53,2.249,0.0,16.004,19.0,3.449
9.008,363.8,90.4,301.582,886.762,11.2,31.529,18.0,3.052,1.999,0.0,18.004,7.0,3.449
10.008,48.0,11.4,0.0,648.109,8.2,31.529,18.615,0.0,0.615,0.0,18.617,1.0,3.172
