elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.001,305.6,76.0,300.289,869.594,11.0,4.07,1.5,4.066,1.499,0.0,1.504,19.0,3.245
2.003,359.2,88.8,301.316,877.188,11.1,7.414,3.5,3.336,1.995,0.0,3.504,19.0,3.245
3.005,367.3,90.9,301.762,876.926,11.1,11.008,5.5,3.587,1.996,0.0,5.504,19.0,3.245
4.008,365.2,90.6,301.855,876.395,11.1,14.476,7.5,3.461,1.995,0.0,7.504,19.0,3.465
5.008,368.8,91.4,301.918,876.527,11.1,18.008,9.75,3.53,2.249,0.0,9.754,19.0,3.465
6.009,362.5,89.8,302.004,876.027,11.1,21.476,11.75,3.464,1.997,0.0,11.754,19.0,3.465
7.01,364.6,90.2,302.027,875.965,11.1,24.914,13.75,3.434,1.998,0.0,13.754,19.0,3.465
8.011,364.8,90.4,302.043,875.637,11.1,28.414,16.0,3.498,2.249,0.0,16.004,19.0,3.465
9.011,367.8,90.9,301.832,875.137,11.0,31.53,18.0,3.114,1.999,0.0,18.004,8.0,3.508
10.012,54.0,13.2,0.0,623.633,7.9,31.53,18.615,0.0,0.615,0.0,18.617,1.0,3.508
