elapsed_s,process_cpu_percent,system_cpu_percent,process_rss_mb,system_memory_used_mb,system_memory_percent,logical_read_mb,logical_write_mb,logical_read_rate_mb_s,logical_write_rate_mb_s,storage_read_mb,storage_write_mb,threads,load_1m
1.0,299.9,74.3,300.191,860.703,10.9,4.008,1.25,4.007,1.25,0.0,1.254,19.0,2.846
2.001,365.7,90.3,301.359,860.375,10.9,7.476,3.5,3.466,2.248,0.0,3.504,19.0,2.846
3.002,363.9,89.7,301.824,859.879,10.9,11.008,5.5,3.53,1.999,0.0,5.504,19.0,2.846
4.002,362.8,89.7,301.91,859.832,10.9,14.476,7.5,3.467,1.999,0.0,7.504,19.0,2.846
5.003,369.7,90.9,301.926,859.969,10.9,18.07,9.75,3.591,2.248,0.0,9.754,19.0,3.019
6.005,360.1,89.4,302.016,859.688,10.9,21.508,11.75,3.429,1.995,0.0,11.754,19.0,3.019
7.006,366.8,90.9,302.027,859.281,10.8,24.945,13.75,3.436,1.999,0.0,13.754,19.0,3.019
8.006,368.8,91.6,302.047,859.199,10.8,28.539,16.0,3.592,2.249,0.0,16.004,19.0,3.019
9.006,359.8,88.9,301.773,858.918,10.8,31.53,18.0,2.989,1.999,0.0,18.004,7.0,3.019
10.007,46.0,11.7,0.0,618.938,7.8,31.53,18.615,0.0,0.615,0.0,18.617,1.0,3.098
